date,content,tweet_url,embedded_links
2025-06-28T08:00:08.000Z,Grand marshal named for Aurora Fourth of July Parade,https://x.com/chicagotribune/status/1938870012938244246,"['https://www.chicagotribune.com/2025/06/27/grand-marshal-named-for-aurora-fourth-of-july-parade/', 'https://www.chicagotribune.com/2025/06/27/grand-marshal-named-for-aurora-fourth-of-july-parade/']"
2025-06-28T07:30:07.000Z,"WBBM-Channel 2 weekend morning news anchor and weekday reporter Suzanne Le Mignot and her husband, John Luce, paid $928,500 earlier this year for a two-bedroom condominium on the 14th floor of a vintage and recently renovated Gold Coast building.",https://x.com/chicagotribune/status/1938862461458800734,"['https://www.chicagotribune.com/2025/06/27/suzanne-le-mignot-wbbm/', 'https://www.chicagotribune.com/2025/06/27/suzanne-le-mignot-wbbm/']"
2025-06-28T07:00:05.000Z,"A Round Lake Beach man was sentenced to 35 years in prison Friday after pleading guilty to the murder of his girlfriend’s young son, according to Lake County court records.",https://x.com/chicagotribune/status/1938854900160434215,"['https://www.chicagotribune.com/2025/06/27/child-murder-sentence/', 'https://www.chicagotribune.com/2025/06/27/child-murder-sentence/']"
2025-06-28T06:30:08.000Z,Column: The Chicago Bulls keep drafting the same type of player. Will it ever pay off?,https://x.com/chicagotribune/status/1938847363210022958,"['https://www.chicagotribune.com/2025/06/27/chicago-bulls-nba-draft-noa-essengue/', 'https://www.chicagotribune.com/2025/06/27/chicago-bulls-nba-draft-noa-essengue/']"
2025-06-28T06:00:05.000Z,"Marking 22 years, the Numero Group record label remains a visionary Chicago stalwart pushing the industry forward",https://x.com/chicagotribune/status/1938839803321098310,"['https://www.chicagotribune.com/2025/06/27/marking-22-years-the-numero-group-record-label-remains-a-visionary-chicago-stalwart-pushing-the-industry-forward/', 'https://www.chicagotribune.com/2025/06/27/marking-22-years-the-numero-group-record-label-remains-a-visionary-chicago-stalwart-pushing-the-industry-forward/']"
2025-06-28T05:30:06.000Z,Here are festivities planned for the north suburbs on July 3 and 4.,https://x.com/chicagotribune/status/1938832258586046743,"['https://www.chicagotribune.com/2025/06/25/july-4-parades-fireworks-in-north-shore-suburbs-for-2025/', 'https://www.chicagotribune.com/2025/06/25/july-4-parades-fireworks-in-north-shore-suburbs-for-2025/']"
2025-06-28T05:00:10.000Z,Pardon applications are being carefully crafted with one man in mind: Donald Trump,https://x.com/chicagotribune/status/1938824725586727220,"['https://www.chicagotribune.com/2025/06/27/pardon-applications-trump/', 'https://www.chicagotribune.com/2025/06/27/pardon-applications-trump/']"
2025-06-28T04:30:06.000Z,Editorial: Trump’s Opportunity Zones could help small businesses and struggling neighborhoods,https://x.com/chicagotribune/status/1938817158236041256,"['https://www.chicagotribune.com/2025/06/27/editorial-trumps-opportunity-zones-could-help-small-businesses-and-struggling-neighborhoods/', 'https://www.chicagotribune.com/2025/06/27/editorial-trumps-opportunity-zones-could-help-small-businesses-and-struggling-neighborhoods/']"
2025-06-28T04:17:01.000Z,"The Orland High School District 230 Board voted to place a 36-acre property on South 108 Avenue, jointly owned with District 135, on the market for $2.57 million dollars, aligning the price with the recommendation from an appraisal completed in early June.",https://x.com/chicagotribune/status/1938813864885280969,"['https://www.chicagotribune.com/2025/06/27/orland-high-school-district-230-property-sale/', 'https://www.chicagotribune.com/2025/06/27/orland-high-school-district-230-property-sale/']"
2025-06-28T04:00:07.000Z,Column: The new book ‘Sick and Dirty’ examines the not-so-hidden queerness of classic Hollywood,https://x.com/chicagotribune/status/1938809610296500638,"['https://www.chicagotribune.com/2025/06/27/interview-sick-and-dirty-book/', 'https://www.chicagotribune.com/2025/06/27/interview-sick-and-dirty-book/']"
2025-06-28T03:45:02.000Z,Federal authorities on Friday announced charges against a Chicago man accused of punching a federal court clerk earlier this week outside the Dirksen Federal Building in the Loop.,https://x.com/chicagotribune/status/1938805816284307886,"['https://www.chicagotribune.com/2025/06/27/federal-charge-for-man-accused-of-attacking-a-federal-judge-clerk/', 'https://www.chicagotribune.com/2025/06/27/federal-charge-for-man-accused-of-attacking-a-federal-judge-clerk/']"
2025-06-28T03:30:05.000Z,"Letter to the Editor:

Members of Congress take the Pledge of Allegiance hundreds of times during their terms in office. It says that liberty and justice are for all. But Republican lawmakers in Washington only want liberty and justice for some.",https://x.com/chicagotribune/status/1938802054366925120,"['https://www.chicagotribune.com/2025/06/26/letter-elgin-courier-news-medicaid-cuts-disabilities/', 'https://www.chicagotribune.com/2025/06/26/letter-elgin-courier-news-medicaid-cuts-disabilities/']"
2025-06-28T03:15:06.000Z,"Democratic efforts to prevent President Trump from further escalating with Iran fell short Friday, with Republicans blocking a resolution that marked Congress’ first attempt to reassert its war powers following U.S. strikes on Iranian nuclear sites.",https://x.com/chicagotribune/status/1938798282886594934,"['https://www.chicagotribune.com/2025/06/27/senate-rejects-restrain-trump-iran/', 'https://www.chicagotribune.com/2025/06/27/senate-rejects-restrain-trump-iran/']"
2025-06-28T03:00:08.000Z,"The Astros honored Kyle Tucker and veteran reliever Ryan Pressly on Friday in their first game back in Houston since joining the Chicago Cubs, playing a 4-minute pregame tribute video that recognized their accomplishments with the organization.",https://x.com/chicagotribune/status/1938794516472869045,"['https://www.chicagotribune.com/2025/06/27/chicago-cubs-kyle-tucker-ryan-pressly-houston-astros/', 'https://www.chicagotribune.com/2025/06/27/chicago-cubs-kyle-tucker-ryan-pressly-houston-astros/']"
2025-06-28T02:45:06.000Z,South Shore Line fares increase 10% on Tuesday,https://x.com/chicagotribune/status/1938790733550391639,"['https://www.chicagotribune.com/2025/06/27/south-shore-line-fares-increase-10-on-tuesday/', 'https://www.chicagotribune.com/2025/06/27/south-shore-line-fares-increase-10-on-tuesday/']"
2025-06-28T02:30:08.000Z,The writer-director Sarah Friedland and actress Kathleen Chalfant avoid every storytelling pitfall in a movie about a woman in a memory care facility.,https://x.com/chicagotribune/status/1938786966369116572,"['https://www.chicagotribune.com/2025/06/27/familiar-touch-review-a-coming-of-old-age-story-compassionate-and-clear-eyed/', 'https://www.chicagotribune.com/2025/06/27/familiar-touch-review-a-coming-of-old-age-story-compassionate-and-clear-eyed/']"
2025-06-28T02:15:01.000Z,"At Albizu High School, migrant grads confront a future shaped by US policy",https://x.com/chicagotribune/status/1938783164584886339,"['https://www.chicagotribune.com/2025/06/27/immigrant-student-trio-graduate/', 'https://www.chicagotribune.com/2025/06/27/immigrant-student-trio-graduate/']"
2025-06-28T02:00:08.000Z,"Commentary: The world is getting more dangerous. Trust in diplomacy has been deeply undermined, making greater reliance on military might inevitable. Meanwhile, America’s leaders are more focused on declaring war at home than deterring it abroad.",https://x.com/chicagotribune/status/1938779415506219094,"['https://www.chicagotribune.com/2025/06/27/column-iran-israel-us-war-diplomacy-shackelford/', 'https://www.chicagotribune.com/2025/06/27/column-iran-israel-us-war-diplomacy-shackelford/']"
2025-06-28T01:45:05.000Z,Supreme Court upholds Texas law aimed at blocking kids from seeing pornography online,https://x.com/chicagotribune/status/1938775628834132333,"['https://www.chicagotribune.com/2025/06/27/supreme-court-kids-pornography/', 'https://www.chicagotribune.com/2025/06/27/supreme-court-kids-pornography/']"
